model,accuracy,precision,recall,f1,auc
Logistic Regression,0.9417916666666668,0.9485269217744666,0.9342116234470108,0.941314849821466,0.9417872475526052
SVC Base,0.9538333333333332,0.9567771716323962,0.9505544901192362,0.9536556801070772,0.9538314217898588
SVC Final,0.969375,0.971677559912854,0.9668973567914616,0.9692815647594768,0.9693735555507236
Random Forest Final,0.9909583333333334,0.9900948892958216,0.9918285666638872,0.990960969717166,0.9909588406734944
XGBoost Final,0.9947916666666666,0.995573743110072,0.9939964979571416,0.99478449534777,0.9947912030886732
Catboost Final,0.9765833333333334,0.9760139918380945,0.9771533394480112,0.9765833333333334,0.976583665643053
Ensemble,0.9927083333333333,0.9934858860865208,0.9919119486367047,0.9926982934868778,0.9927078690464276
